Film,rotten_tomatos_score,audience_score,Year,won_best_picture,metacritic_scores,Rating_IMDB,IMDB_votesK,golden_globes_awards,budget_mil,box_office_mil,Genre_action,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,runtime
Barbie,88,83,2023,0,80,6.9,455,2,130,1446,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,120
Poor Things,93,82,2023,0,87,8.5,22,2,35,12.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,141
Oppenheimer,93,93,2023,0,89,8.4,588,5,100,955,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180
Killers of the flower moon,93,84,2023,0,89,7.8,155,1,200,154.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,206
Maestro,80,62,2023,0,77,6.7,32,0,80,26.2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
